client_sample_id,sample_date,matrix,method,analyte,result,qualifier,RL,MDL,unit,dil fac,EDL
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"1,4-Dichlorobenzene",ND,,24,5.2,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,2-Butanone (MEK),ND,,95,15,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,2-Hexanone,ND,,95,25,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,4-Methyl-2-pentanone (MIBK),ND,,95,23,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Acetone,26,J B,95,23,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Benzene,ND,,24,4.0,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Dichlorobromomethane,ND,,24,5.8,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Bromoform,ND,,24,22,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Bromomethane,ND,,24,16,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Carbon disulfide,ND,,24,10,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Carbon tetrachloride,ND,,24,9.7,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chlorobenzene,ND,,24,3.3,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chloroethane,ND,,24,14,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chloroform,ND,,24,5.1,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chloromethane,ND,,24,6.3,mg/Kg,100,
